,text,diggCount,createTimeISO,cleaned_text,normalized_text,roberta_label,roberta_score,roberta_sentiment
422,negara yang sudah memakai ethanol?,4,2025-10-10 08:50:24+00:00,negara yang sudah memakai ethanol?,negara yang sudah memakai ethanol?,0.0,0.9725289940834045,0
423,kici kicii,2,2025-10-10 14:14:19+00:00,kici kicii,kici kicii,1.0,0.9778514504432678,1
424,BAHLIL = BAHAN TAHLILAN,2,2025-10-09 17:46:33+00:00,bahlil   bahan tahlilan,bahlil bahan tahlilan,,0.9885563254356384,0
425,"SAYA TADI BELI PERTAMAX MASIH TETAP BEREBET, KADANG D GAS SUKA NAHAN GITU , PUSING , MAU ISI SHELL BELUM ADA JUGA YG SUPER",2,2025-10-09 20:06:59+00:00,saya tadi beli pertamax masih tetap berebet  kadang d gas suka nahan gitu   pusing   mau isi shell belum ada juga yg super,saya tadi beli pertamax masih tetap berebet kadang d gas suka nahan gitu pusing mau isi shell belum ada juga yang super,0.0,0.9920122027397156,0
426,"demi kepentingan bisnis doang anjir, rakyatnya di sengsara in",2,2025-10-10 14:57:55+00:00,demi kepentingan bisnis doang anjir  rakyatnya di sengsara in,demi kepentingan bisnis doang anjing rakyatnya di sengsara in,0.0,0.9994840621948242,0
427,nyiksa bgt sma rakyat teh,2,2025-10-10 20:54:43+00:00,nyiksa bgt sma rakyat teh,nyiksa banget sma rakyat teh,0.0,0.9992903470993042,0
428,oke gas oke gas demo,2,2025-10-09 20:46:49+00:00,oke gas oke gas demo,baik gas baik gas demo,1.0,0.9890641570091248,1
429,"malaysia mampu kasi rakyatnya dgn harga 7500/l ron 95,idonesia bbmnya oplosan harga diatas 12ribu ron 92,indonesia no 2 termahal dunia",2,2025-10-13 16:49:49+00:00,malaysia mampu kasi rakyatnya dgn harga 7500 l ron 95 idonesia bbmnya oplosan harga diatas 12ribu ron 92 indonesia no 2 termahal dunia,malaysia mampu kasi rakyatnya dengan harga 7500 l ron 95 idonesia bbmnya oplosan harga diatas 12ribu ron 92 indonesia no 2 termahal dunia,1.0,0.9671595692634583,1
430,minta didemo lagi mungkin,2,2025-10-11 04:57:30+00:00,minta didemo lagi mungkin,minta didemo lagi mungkin,0.0,0.9993033409118652,0
431,"semua dioplos, beras juga dioplos",3,2025-10-09 19:04:11+00:00,semua dioplos  beras juga dioplos,semua dioplos beras juga dioplos,0.0,0.7965628504753113,0
432,"Sedangkan Shell, BP-AKR dan Vivo tidak menggunakan campuran etanol karena biaya penanganannya dinilai lebih besar",2,2025-10-09 17:14:53+00:00,sedangkan shell  bp akr dan vivo tidak menggunakan campuran etanol karena biaya penanganannya dinilai lebih besar,sedangkan shell bp akr dan vivo tidak menggunakan campuran etanol karena biaya penanganannya dinilai lebih besar,,0.9949964284896851,0
434,kenapa pak Teddy diam....,1,2025-11-04 11:13:20+00:00,kenapa pak teddy diam..,kenapa pak teddy diam..,0.0,0.8286359310150146,0
435,bahlil saat masih gadis,3,2025-10-11 03:35:02+00:00,bahlil saat masih gadis,bahlil saat masih gadis,,0.9106400012969971,0
436,"harga etanol lebih mahal dari harga BBM,ketika di tambahkan ethanol,berati ada pengadaan barang,,, sampai disini anda paham?",3,2025-10-09 12:50:16+00:00,harga etanol lebih mahal dari harga bbm ketika di tambahkan ethanol berati ada pengadaan barang   sampai disini anda paham?,harga etanol lebih mahal dari harga bbm ketika di tambahkan ethanol berati ada pengadaan barang sampai disini anda paham?,0.0,0.9338982105255127,0
437,Bisa demo ngak sih,3,2025-10-09 09:34:04+00:00,bisa demo ngak sih,bisa demo tidak ya,,0.7988395094871521,0
438,"apa kah ini sebuah strategi,untuk mengusir perusahaan asing?",3,2025-10-09 12:00:05+00:00,apa kah ini sebuah strategi untuk mengusir perusahaan asing?,apa kah ini sebuah strategi untuk mengusir perusahaan asing?,0.0,0.9858803153038025,0
440,lagian supir angkot disuruh jadi Mentri 😖😓,3,2025-10-09 10:56:15+00:00,lagian supir angkot disuruh jadi mentri,lagian supir angkot disuruh jadi mentri,0.0,0.9970734119415283,0
441,Makin hari makin ga ada otak nya pemerintah,3,2025-10-09 12:25:15+00:00,makin hari makin ga ada otak nya pemerintah,makin hari makin tidak ada otak nya pemerintah,0.0,0.9994773268699646,0
442,pemerintah skrg makin kedepan makin kacau padahal punya sumber alam sendri masih pada kakurangan BBM knp ya kn aneh,1,2025-11-06 01:23:36+00:00,pemerintah skrg makin kedepan makin kacau padahal punya sumber alam sendri masih pada kakurangan bbm knp ya kn aneh,pemerintah sekarang makin kedepan makin kacau padahal punya sumber alam sendri masih pada kakurangan bbm kenapa ya kn aneh,0.0,0.9994121789932251,0
443,parah banget pemerintah sekarang,2,2025-10-28 12:31:09+00:00,parah banget pemerintah sekarang,parah banget pemerintah sekarang,0.0,0.9994490742683411,0
444,Bahlil ga bisa di ganti y guys soalnya titipan jokowi 😭,3,2025-10-09 19:39:37+00:00,bahlil ga bisa di ganti y guys soalnya titipan jokowi 😭,bahlil tidak bisa di ganti y guys soalnya titipan jokowi 😭,0.0,0.8264954090118408,0
445,setiap bahlil ngomong semakin dekat akhir jaman,2,2025-10-15 05:49:13+00:00,setiap bahlil ngomong semakin dekat akhir jaman,setiap bahlil ngomong semakin dekat akhir jaman,0.0,0.807124137878418,0
446,pak presiden cepat adakan lagi resavell terutama bpk satu ini.,2,2025-10-11 05:13:14+00:00,pak presiden cepat adakan lagi resavell terutama bpk satu ini.,pak presiden cepat adakan lagi resavell terutama bpk satu ini.,1.0,0.6726292371749878,1
447,Lama lama mending pake sepeda/jalan kaki aja dari pada bawa motor/mobil,2,2025-10-09 07:31:41+00:00,lama lama mending pake sepeda jalan kaki aja dari pada bawa motor mobil,lama lama mending pake sepeda jalan kaki aja dari pada bawa motor mobil,0.0,0.9887605309486389,0
449,saya dukung kamu bg semangat bg masih ada orang lain yang dukung lu 😁😁,2,2025-10-14 02:51:25+00:00,saya dukung kamu bg semangat bg masih ada orang lain yang dukung lu 😁😁,saya dukung kamu bg semangat bg masih ada orang lain yang dukung kamu 😁😁,1.0,0.9973371624946594,1
450,untungnya Bahlil JD mntri,2,2025-10-09 05:33:21+00:00,untungnya bahlil jd mntri,untungnya bahlil jd mntri,1.0,0.9968948364257812,1
451,tau film yg balap mobil itu ga si? yg punya campuran etanol yg buat mobil meledak?,2,2025-10-09 15:59:48+00:00,tau film yg balap mobil itu ga si? yg punya campuran etanol yg buat mobil meledak?,tau film yang balap mobil itu tidak si? yang punya campuran etanol yang buat mobil meledak?,0.0,0.9534045457839966,0
452,yaudah gw byr pajak gw campurin sama batu.,2,2025-10-28 06:26:10+00:00,yaudah gw byr pajak gw campurin sama batu.,yaudah saya byr pajak saya campurin sama batu.,0.0,0.9929782748222351,0
453,dia lagi Bae ya gaduh viral,2,2025-10-09 16:37:00+00:00,dia lagi bae ya gaduh viral,dia lagi kesayangan ya gaduh viral,,0.9644621014595032,0
454,rakyat muak liat bahil,2,2025-10-10 23:23:10+00:00,rakyat muak liat bahil,rakyat muak liat bahil,0.0,0.9994990825653076,0
456,𝒅𝒊 𝒋𝒂𝒘𝒂 𝒕𝒊𝒎𝒖𝒓 𝒃𝒂𝒏𝒚𝒂𝒌 𝒌𝒂𝒔𝒖𝒔 𝒉𝒂𝒃𝒊𝒔 𝒊𝒔𝒊 𝒑𝒆𝒓𝒕𝒂𝒍𝒊𝒕𝒆 𝒔𝒆𝒑𝒆𝒅𝒂 𝒎𝒐𝒕𝒐𝒓 𝒃𝒂𝒏𝒚𝒂𝒌 𝒚𝒈 𝒃𝒓𝒆𝒃𝒆𝒕 𝒅𝒂𝒏 𝒎𝒐𝒈𝒐𝒌...,2,2025-10-28 10:27:48+00:00,𝒅𝒊 𝒋𝒂𝒘𝒂 𝒕𝒊𝒎𝒖𝒓 𝒃𝒂𝒏𝒚𝒂𝒌 𝒌𝒂𝒔𝒖𝒔 𝒉𝒂𝒃𝒊𝒔 𝒊𝒔𝒊 𝒑𝒆𝒓𝒕𝒂𝒍𝒊𝒕𝒆 𝒔𝒆𝒑𝒆𝒅𝒂 𝒎𝒐𝒕𝒐𝒓 𝒃𝒂𝒏𝒚𝒂𝒌 𝒚𝒈 𝒃𝒓𝒆𝒃𝒆𝒕 𝒅𝒂𝒏 𝒎𝒐𝒈𝒐𝒌..,𝒅𝒊 𝒋𝒂𝒘𝒂 𝒕𝒊𝒎𝒖𝒓 𝒃𝒂𝒏𝒚𝒂𝒌 𝒌𝒂𝒔𝒖𝒔 𝒉𝒂𝒃𝒊𝒔 𝒊𝒔𝒊 𝒑𝒆𝒓𝒕𝒂𝒍𝒊𝒕𝒆 𝒔𝒆𝒑𝒆𝒅𝒂 𝒎𝒐𝒕𝒐𝒓 𝒃𝒂𝒏𝒚𝒂𝒌 𝒚𝒈 𝒃𝒓𝒆𝒃𝒆𝒕 𝒅𝒂𝒏 𝒎𝒐𝒈𝒐𝒌..,1.0,0.997958779335022,1
457,di sc aja udah jadi meme njirlah,2,2025-10-23 01:38:11+00:00,di sc aja udah jadi meme njirlah,di sc aja sudah jadi meme njirlah,0.0,0.998792290687561,0
458,"MUKA sama HATI gda bedanya,,,",2,2025-10-10 04:08:58+00:00,muka sama hati gda bedanya,muka sama hati gda bedanya,0.0,0.7712246179580688,0
459,betul banget tuh bosqu🥰,2,2025-10-09 03:16:04+00:00,betul banget tuh bosqu🥰,betul banget tuh bosqu🥰,1.0,0.9846285581588745,1
460,"Bahlil ×
bahlul ✓",2,2025-10-12 05:14:18+00:00,"bahlil  
bahlul",bahlil bahlul,0.0,0.9772870540618896,0
461,Buang jdi mentri... termul tulen..,2,2025-10-11 13:37:15+00:00,buang jdi mentri.. termul tulen..,buang jdi mentri.. termul tulen..,0.0,0.9986985921859741,0
462,"bahlil❌
bahlul✅",2,2025-10-15 02:46:48+00:00,"bahlil❌
bahlul✅",bahlil❌ bahlul✅,,0.9165325164794922,0
464,❤️‍🔥❤️‍🔥❤️‍🔥,2,2025-10-15 11:00:18+00:00,️‍🔥 ️‍🔥 ️‍🔥,️‍🔥 ️‍🔥 ️‍🔥,1.0,0.9990559220314026,1
465,orang kek gini kok masih di anggap.. gmn Prabowo,2,2025-10-14 00:53:05+00:00,orang kek gini kok masih di anggap.. gmn prabowo,orang kek gini kok masih di anggap.. gimana prabowo,0.0,0.9986991882324219,0
466,hasil krjanya trgambar di wajahnya,2,2025-10-12 23:11:28+00:00,hasil krjanya trgambar di wajahnya,hasil krjanya trgambar di wajahnya,1.0,0.7829110622406006,1
467,Setelah Sahroni .Bahlil pun ingin bedah rumah dadakan 😁,2,2025-10-13 00:39:05+00:00,setelah sahroni .bahlil pun ingin bedah rumah dadakan 😁,setelah sahroni .bahlil pun ingin bedah rumah dadakan 😁,,0.9944838881492615,0
468,secara tidak langsung kita di alihkan untuk memakai kendaraan listrik,2,2025-10-12 06:05:32+00:00,secara tidak langsung kita di alihkan untuk memakai kendaraan listrik,secara tidak langsung kita di alihkan untuk memakai kendaraan listrik,,0.9980308413505554,0
469,pantes motor gua brebet mulu anj,2,2025-10-09 07:34:28+00:00,pantes motor gua brebet mulu anj,pantes motor gua brebet mulu anjing,0.0,0.9990555644035339,0
470,bikin gaduh manusia satu ini,2,2025-10-11 00:08:05+00:00,bikin gaduh manusia satu ini,bikin gaduh manusia satu ini,0.0,0.9987236857414246,0
471,perlu di selidiki ijazahnya bahlil... emang lulusan apa dia... kok bisa etanol d campur bensin... ramah lingkungan😇😇😇,2,2025-10-11 07:46:21+00:00,perlu di selidiki ijazahnya bahlil.. emang lulusan apa dia.. kok bisa etanol d campur bensin.. ramah lingkungan,perlu di selidiki ijazahnya bahlil.. emang lulusan apa dia.. kok bisa etanol d campur bensin.. ramah lingkungan,0.0,0.9967635869979858,0
472,ente bahlil apa bahlul?,2,2025-10-12 02:31:49+00:00,ente bahlil apa bahlul?,ente bahlil apa bahlul?,0.0,0.9982194304466248,0
473,dia dulu sekolah ga sih,2,2025-10-11 04:23:06+00:00,dia dulu sekolah ga sih,dia dulu sekolah tidak ya,0.0,0.8982244729995728,0
474,TUJUANNYA AGAR KENDARAAN LAMA2 RUSAK DAN GANTI KE KENDARAAN LISTRIK,2,2025-10-11 08:55:28+00:00,tujuannya agar kendaraan lama2 rusak dan ganti ke kendaraan listrik,tujuannya agar kendaraan lama2 rusak dan ganti ke kendaraan listrik,,0.9357715249061584,0
476,yg tidak bagus motor kami karena mesinnya bukan untuk etanol,2,2025-10-30 04:30:47+00:00,yg tidak bagus motor kami karena mesinnya bukan untuk etanol,yang tidak bagus motor kami karena mesinnya bukan untuk etanol,0.0,0.9990596175193787,0
477,ngerti gah sih,2,2025-10-10 09:09:30+00:00,ngerti gah sih,ngerti gah ya,0.0,0.9983715415000916,0
478,negara lain tp ga berani nyebut negara mn nya😂😂,3,2025-10-10 07:58:10+00:00,negara lain tp ga berani nyebut negara mn nya😂😂,negara lain tapi tidak berani nyebut negara mn nya😂😂,0.0,0.9978477954864502,0
479,emang paling bener berangkat (kerja/sekolah)pake sepeda(walau berangkatnya harus cepat)🗿,2,2025-10-19 12:32:20+00:00,emang paling bener berangkat  kerja sekolah pake sepeda walau berangkatnya harus cepat 🗿,emang paling benar berangkat kerja sekolah pake sepeda walau berangkatnya harus cepat 🗿,1.0,0.9901729822158813,1
480,lah etanol bikin mesin 2tak rusak ?,2,2025-10-19 07:54:08+00:00,lah etanol bikin mesin 2tak rusak ?,lah etanol bikin mesin 2tak rusak ?,0.0,0.9367550015449524,0
481,bisa merusak mesin 2 takk pak bahlilll,2,2025-10-19 00:05:29+00:00,bisa merusak mesin 2 takk pak bahlill,bisa merusak mesin 2 takk pak bahlill,0.0,0.985952615737915,0
482,Lah emang kendaraan bahlil udah pakai etanol,2,2025-10-18 12:03:56+00:00,lah emang kendaraan bahlil udah pakai etanol,lah emang kendaraan bahlil sudah pakai etanol,,0.9894459843635559,0
483,makin miris aja negara konoha🥲🥲,2,2025-10-17 11:49:12+00:00,makin miris aja negara konoha,makin miris aja negara konoha,0.0,0.999384880065918,0
484,anjir masih idup prasaan udh di bakar sarang nya,2,2025-10-17 05:35:13+00:00,anjir masih idup prasaan udh di bakar sarang nya,anjing masih idup prasaan sudah di bakar sarang nya,0.0,0.995964765548706,0
485,goblin,2,2025-10-16 10:04:01+00:00,goblin,goblin,0.0,0.9952501058578491,0
486,kami warga indonesia siyap demo jaga jaga jak,2,2025-10-15 12:20:15+00:00,kami warga indonesia siyap demo jaga jaga jak,kami warga indonesia siyap demo jaga jaga jak,0.0,0.9851896166801453,0
487,kaya gak asing ya,2,2025-10-15 06:12:40+00:00,kaya gak asing ya,kaya tidak asing ya,1.0,0.9783811569213867,1
488,"padahal di film MC queen udh dijelaskan klo etanol dan bensin bersatu itu menyebabkan mesin cepat rusak dan pemanasan secara berlebih, terus klo ada infrared atau suar bisa menyebabkan meledaknya kendaraan tersebut. makanya yg punya olinol sendiri mesinnya sering mogok dan oliya bocor",2,2025-10-13 11:11:51+00:00,padahal di film mc queen udh dijelaskan klo etanol dan bensin bersatu itu menyebabkan mesin cepat rusak dan pemanasan secara berlebih  terus klo ada infrared atau suar bisa menyebabkan meledaknya kendaraan tersebut. makanya yg punya olinol sendiri mesinnya sering mogok dan oliya bocor,padahal di film mc queen sudah dijelaskan kalau etanol dan bensin bersatu itu menyebabkan mesin cepat rusak dan pemanasan secara berlebih terus kalau ada infrared atau suar bisa menyebabkan meledaknya kendaraan tersebut. makanya yang punya olinol sendiri mesinnya sering mogok dan oliya bocor,0.0,0.9961938858032227,0
489,salah satu cara untuk menciptakan 19 jt lapangan pekerjaan ngaa sii??,2,2025-10-10 03:34:13+00:00,salah satu cara untuk menciptakan 19 jt lapangan pekerjaan ngaa sii??,salah satu cara untuk menciptakan 19 jt lapangan pekerjaan ngaa sii??,,0.9945464134216309,0
490,parahhhh....lulusan mana menteri ini,2,2025-10-09 10:52:58+00:00,parahh..lulusan mana menteri ini,parahh..lulusan mana menteri ini,0.0,0.9995390176773071,0
491,bahlul,2,2025-10-09 13:13:19+00:00,bahlul,bahlul,0.0,0.9898656010627747,0
492,"Gimana nihh masa kendaraan kita di isi bbm gak baik, rusak kita yg tanggung sendiri, 😔",2,2025-10-10 02:20:29+00:00,gimana nihh masa kendaraan kita di isi bbm gak baik  rusak kita yg tanggung sendiri,gimana nihh masa kendaraan kita di isi bbm tidak baik rusak kita yang tanggung sendiri,0.0,0.9991450309753418,0
493,"setiap ada kebijakan g ada yg nyengin rakyat,yg ada nyusahin terus",2,2025-10-09 05:48:40+00:00,setiap ada kebijakan g ada yg nyengin rakyat yg ada nyusahin terus,setiap ada kebijakan g ada yang nyengin rakyat yang ada nyusahin terus,0.0,0.999305009841919,0
494,akun si bahlil komentar nya di matiin😂,2,2025-10-11 05:06:51+00:00,akun si bahlil komentar nya di matiin😂,akun si bahlil komentar nya di matiin😂,0.0,0.9966782331466675,0
495,tujuan nyaa. merusak kendaraan yg pakai minyak.. biar beralih ke listrik semua,2,2025-10-10 14:26:09+00:00,tujuan nyaa. merusak kendaraan yg pakai minyak.. biar beralih ke listrik semua,tujuan nyaa. merusak kendaraan yang pakai minyak.. biar beralih ke listrik semua,0.0,0.9518568515777588,0
496,muka y itu loh,2,2025-10-10 15:39:38+00:00,muka y itu loh,muka y itu loh,0.0,0.9970506429672241,0
497,infokan sniper,2,2025-10-09 21:58:38+00:00,infokan sniper,infokan sniper,,0.994508683681488,0
498,Demo lagi 🔥🔥🔥,3,2025-10-09 05:10:04+00:00,demo lagi 🔥🔥,demo lagi 🔥🔥,0.0,0.9959388971328735,0
499,bahlil dan bahlul beda tipis. cuma beda 1 huruf,3,2025-10-10 06:18:21+00:00,bahlil dan bahlul beda tipis. cuma beda 1 huruf,bahlil dan bahlul beda tipis. cuma beda 1 huruf,0.0,0.8969109654426575,0
501,Mentri2 titipan dari pak mul tidak ada yg bermutu sama sekali..,3,2025-10-09 10:45:06+00:00,mentri2 titipan dari pak mul tidak ada yg bermutu sama sekali..,mentri2 titipan dari pak mul tidak ada yang bermutu sama sekali..,0.0,0.9991169571876526,0
502,"sepertinya harus kuliah dulu,,,,",3,2025-10-09 10:59:48+00:00,sepertinya harus kuliah dulu,sepertinya harus kuliah dulu,,0.9969580173492432,0
503,"Sumatra dengan sawitnya, Kalimantan dengan batubara nya, Sulawesi dengan nikel nya,Papua dengan emasnya ,JAWA dengan HAMA nya🤪🤪",2,2025-10-11 05:30:05+00:00,sumatra dengan sawitnya  kalimantan dengan batubara nya  sulawesi dengan nikel nya papua dengan emasnya  jawa dengan hama nya,sumatra dengan sawitnya kalimantan dengan batubara nya sulawesi dengan nikel nya papua dengan emasnya jawa dengan hama nya,,0.756064772605896,0
504,menteri ky gini,2,2025-10-09 09:37:45+00:00,menteri ky gini,menteri ky gini,0.0,0.976262629032135,0
505,semoga cepatt di gantikan yang satu ini,2,2025-10-11 04:34:49+00:00,semoga cepatt di gantikan yang satu ini,semoga cepatt di gantikan yang satu ini,,0.9119914770126343,0
506,rumah Bahlil di jl duren tiga selatan kalibata Jaksel samping PLN depan pertigaan kalibata Utara 6,3,2025-10-10 05:54:41+00:00,rumah bahlil di jl duren tiga selatan kalibata jaksel samping pln depan pertigaan kalibata utara 6,rumah bahlil di jl duren tiga selatan kalibata jaksel samping pln depan pertigaan kalibata utara 6,,0.9344179034233093,0
507,"jngn"" kemarin itu uji coba campuran ethanol yg banyak kendaraan mati tiba-tiba di KAL-TIM.... hmmmmmmm😏",3,2025-10-09 05:46:12+00:00,jngn  kemarin itu uji coba campuran ethanol yg banyak kendaraan mati tiba tiba di kal tim.. hmm😏,jngn kemarin itu uji coba campuran ethanol yang banyak kendaraan mati tiba tiba di kal tim.. hmm😏,,0.8761578798294067,0
508,bahlul emang beda🤣,2,2025-10-11 14:55:14+00:00,bahlul emang beda🤣,bahlul emang beda🤣,0.0,0.9938198924064636,0
509,kalo motor kita rusak gara gara bensin di campur metanol kita tuntut bahlil,2,2025-10-10 06:14:08+00:00,kalo motor kita rusak gara gara bensin di campur metanol kita tuntut bahlil,kalau motor kita rusak gara gara bensin di campur metanol kita tuntut bahlil,0.0,0.995040237903595,0
510,kenapa ya SDM pemerintah gitu banget,3,2025-10-13 04:01:17+00:00,kenapa ya sdm pemerintah gitu banget,kenapa ya sdm pemerintah gitu banget,0.0,0.9986780285835266,0
511,gimana yah bilangnya,3,2025-10-09 23:34:53+00:00,gimana yah bilangnya,gimana ya bilangnya,0.0,0.9967080354690552,0
512,tolol motor gw det det,2,2025-10-28 11:38:11+00:00,tolol motor gw det det,tolol motor saya det det,0.0,0.9881787896156311,0
513,bahlil b nya apa?,2,2025-10-09 20:58:55+00:00,bahlil b nya apa?,bahlil b nya apa?,0.0,0.9922879934310913,0
514,bahlil kendaraannya pake bensin gak si? jangan jangan dia beli di shell,2,2025-10-11 05:30:27+00:00,bahlil kendaraannya pake bensin gak si? jangan jangan dia beli di shell,bahlil kendaraannya pake bensin tidak si? jangan jangan dia beli di shell,0.0,0.995074450969696,0
515,"mulai besok dari pada resiko mending naik speda gowes dahlah,makasih bahlil saya akhirnya jual motor",2,2025-10-09 05:47:48+00:00,mulai besok dari pada resiko mending naik speda gowes dahlah makasih bahlil saya akhirnya jual motor,mulai besok dari pada resiko mending naik speda gowes dahlah terima kasih bahlil saya akhirnya jual motor,1.0,0.9423659443855286,1
516,bikin motor/mobil cepet rusak.... bikin rakyat tambah sengsara,2,2025-10-09 23:37:25+00:00,bikin motor mobil cepet rusak.. bikin rakyat tambah sengsara,bikin motor mobil cepet rusak.. bikin rakyat tambah sengsara,0.0,0.9993472695350647,0
517,"di sama"" in sama negara' lain bangsat",2,2025-10-14 06:38:50+00:00,di sama  in sama negara  lain bangsat,di sama in sama negara lain bangsat,0.0,0.9994770884513855,0
518,Kapan di reshufle?,2,2025-10-10 15:33:37+00:00,kapan di reshufle?,kapan di reshufle?,0.0,0.8709424734115601,0
519,Waaaaah .... membalik fakta,2,2025-10-12 10:24:58+00:00,waah .. membalik fakta,waah .. membalik fakta,0.0,0.9397197961807251,0
520,negara mana coba yang pake bahan bakar campur etanol?,2,2025-10-14 09:20:46+00:00,negara mana coba yang pake bahan bakar campur etanol?,negara mana coba yang pake bahan bakar campur etanol?,0.0,0.9685544967651367,0
521,KEBANYAKAN MIRAS,2,2025-10-11 17:38:17+00:00,kebanyakan miras,kebanyakan miras,0.0,0.9982784986495972,0
522,jangan samakan dengan luar negeri lil .mereka jaga kualitas sedangkan di negeri kita banyak di buat korup,2,2025-10-12 08:31:25+00:00,jangan samakan dengan luar negeri lil .mereka jaga kualitas sedangkan di negeri kita banyak di buat korup,jangan samakan dengan luar negeri lil .mereka jaga kualitas sedangkan di negeri kita banyak di buat korup,0.0,0.9993483424186707,0
523,kalo dia ngomong kiamat maju 1 jam,2,2025-10-10 13:18:32+00:00,kalo dia ngomong kiamat maju 1 jam,kalau dia ngomong kiamat maju 1 jam,0.0,0.9964021444320679,0
524,"negara lain? sekelas Shell,Vivo aja ogah etanol gimana sih......",2,2025-10-10 11:57:03+00:00,negara lain? sekelas shell vivo aja ogah etanol gimana sih..,negara lain? sekelas shell vivo aja ogah etanol gimana sih..,0.0,0.9989882111549377,0
525,koar koar membela diri,2,2025-10-10 15:19:00+00:00,koar koar membela diri,koar koar membela diri,,0.9106269478797913,0
526,negara lain?negara yg mna,2,2025-10-12 02:40:08+00:00,negara lain?negara yg mna,negara lain?negara yang mna,0.0,0.9987988471984863,0
527,"motor gua rusakk gara"" kebijakanmuu pakkk😭",2,2025-10-29 11:00:13+00:00,motor gua rusakk gara  kebijakanmuu pakk😭,motor gua rusakk gara kebijakanmuu pakk😭,0.0,0.9994797110557556,0
528,iki omong opo cah iki,2,2025-10-12 03:56:37+00:00,iki omong opo cah iki,iki omong opo cah iki,,0.7567611336708069,0
529,negara mana yg mau pakai etanol lul,2,2025-10-10 13:17:48+00:00,negara mana yg mau pakai etanol lul,negara mana yang mau pakai etanol lul,,0.9209756255149841,0
530,bensol masih ada bos,2,2025-10-14 11:49:00+00:00,bensol masih ada bos,bensol masih ada bos,0.0,0.9977013468742371,0
531,kendaraan lu aja sendiri yg pake tuh bbm.,2,2025-10-11 10:34:34+00:00,kendaraan lu aja sendiri yg pake tuh bbm.,kendaraan kamu aja sendiri yang pake tuh bbm.,0.0,0.983965277671814,0
532,sesekali pakai bahasa inggris,2,2025-10-12 13:10:18+00:00,sesekali pakai bahasa inggris,sesekali pakai bahasa inggris,0.0,0.9503625631332397,0
533,motor rusak gara2 etanol,2,2025-10-10 12:18:59+00:00,motor rusak gara2 etanol,motor rusak gara2 etanol,0.0,0.9990018010139465,0
534,negara mana woyy,2,2025-10-10 11:14:37+00:00,negara mana woyy,negara mana woyy,0.0,0.7711181640625,0
535,etanol membuat kendaraan kita menjadi rusak,2,2025-10-10 09:59:08+00:00,etanol membuat kendaraan kita menjadi rusak,etanol membuat kendaraan kita menjadi rusak,,0.8450287580490112,0
536,nyocott🗿,2,2025-10-11 12:07:52+00:00,nyocott🗿,nyocott🗿,0.0,0.8097296953201294,0
537,emang ga salah dikasih nama BAHLUL,2,2025-10-11 13:37:40+00:00,emang ga salah dikasih nama bahlul,emang tidak salah dikasih nama bahlul,0.0,0.8046116828918457,0
538,"Data nya bagikan?, adu penelitiannya dengan ahli tentang apa yg anda sampaikan itu pak",1,2025-10-12 09:16:33+00:00,data nya bagikan?  adu penelitiannya dengan ahli tentang apa yg anda sampaikan itu pak,data nya bagikan? adu penelitiannya dengan ahli tentang apa yang anda sampaikan itu pak,0.0,0.9410955905914307,0
539,"bisa ngomong langsung ga si didpn pak bahlil?
gue bawain buku fisika skalian gue ajak ngebengkel skalian biar tau deh",2,2025-10-13 14:30:39+00:00,"bisa ngomong langsung ga si didpn pak bahlil?
gue bawain buku fisika skalian gue ajak ngebengkel skalian biar tau deh",bisa ngomong langsung tidak si didpn pak bahlil? saya bawain buku fisika skalian saya ajak ngebengkel skalian biar tau deh,,0.9756804704666138,0
540,ipin upin....🤪🤪🤪🤪🤪🤪,2,2025-10-10 05:56:35+00:00,ipin upin..,ipin upin..,0.0,0.9970575571060181,0
541,"Tangki motor jadi karatan‼️,,mesin cepat rusak‼️🥲👍",2,2025-10-10 11:00:44+00:00,tangki motor jadi karatan ️  mesin cepat rusak ️ 👍,tangki motor jadi karatan ️ mesin cepat rusak ️ 👍,0.0,0.9985414743423462,0
542,pecaaattt atau di ganti ketua,3,2025-10-15 13:50:58+00:00,pecaatt atau di ganti ketua,pecaatt atau di ganti ketua,0.0,0.981674075126648,0
543,coba bahlil bantu sebutkan negara2 apa yg suda pake barang itu,3,2025-10-10 15:35:30+00:00,coba bahlil bantu sebutkan negara2 apa yg suda pake barang itu,coba bahlil bantu sebutkan negara2 apa yang suda pake barang itu,,0.9960078001022339,0
544,beliau tidak mengerti dampaknya ke motor😂,2,2025-10-09 12:22:53+00:00,beliau tidak mengerti dampaknya ke motor😂,beliau tidak mengerti dampaknya ke motor😂,0.0,0.9993112087249756,0
545,kereta ku rusak rusak aja gara gara ini bang 🤦🏻,2,2025-10-09 10:02:48+00:00,kereta ku rusak rusak aja gara gara ini bang,kereta ku rusak rusak aja gara gara ini bang,0.0,0.9994626641273499,0
546,"terlepas dari masalah etanol bagus apa gak nya, emang etanol nya udah bisa full produksi dalam negri? impor lagi kan?",2,2025-10-09 08:26:34+00:00,terlepas dari masalah etanol bagus apa gak nya  emang etanol nya udah bisa full produksi dalam negri? impor lagi kan?,terlepas dari masalah etanol bagus apa tidak nya emang etanol nya sudah bisa full produksi dalam negri? impor lagi kan?,0.0,0.990806519985199,0
